Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T155632.171035,10,93,0,0,
20160901T100640.171035,0,1,0,0,
20160816T155632.171035,10,126,0,0,
20160816T154800.171035,0,0,0,0,
20160818T041232.249160,143,0,0,0,
20160816T154802.171035,0,10,163,0,
20160816T171900.171035,0,0,1,0,
20160816T154802.171035,0,10,196,0,
20160816T172006.171035,0,0,1,0,
20160816T154802.171035,0,10,229,0,
20160816T172112.171035,0,0,1,0,
20160816T154802.171035,0,0,0,0,
20160816T154800.171035,0,11,6,0,
20160816T172218.171035,0,0,1,0,
20160816T154802.171035,0,11,39,0,
20160816T172324.171035,0,0,1,0,
20160816T154802.171035,0,11,72,0,
20160816T172430.171035,0,0,1,0,
20160816T154802.171035,0,11,105,0,
20160816T172536.171035,0,0,1,0,
20160816T154800.171035,0,0,0,0,
20160816T154802.171035,0,11,138,0,
20160816T172642.171035,0,0,1,0,
20160816T154802.171035,0,11,171,0,
20160816T172748.171035,0,0,1,0,
20160816T154802.171035,0,11,204,0,
20160816T172854.171035,0,0,1,0,
20160816T154802.171035,0,11,237,0,
20160816T173000.171035,0,0,1,0,
20160816T154800.171035,0,0,0,0,
20160818T041232.264785,15,0,0,0,
20160816T154802.171035,0,12,35,0,
20160816T173148.171035,0,0,1,0,
20160816T154802.171035,0,12,68,0,
20160816T173254.171035,0,0,1,0,
20160816T154802.171035,0,12,101,0,
20160816T173400.171035,0,0,1,0,
20160816T154802.171035,0,0,0,0,
20160816T154800.171035,0,12,134,0,
20160816T173506.171035,0,0,1,0,
20160816T154802.171035,0,12,167,0,
20160816T173612.171035,0,0,1,0,
20160816T154802.171035,0,12,200,0,
20160816T173718.171035,0,0,1,0,
20160816T154802.171035,0,12,233,0,
20160816T173824.171035,0,0,1,0,
20160816T154800.171035,0,0,0,0,
20160816T154802.171035,0,13,10,0,
20160816T173930.171035,0,0,1,0,
20160816T154802.171035,0,13,43,0,
20160816T174036.171035,0,0,1,0,
20160816T154802.171035,0,13,76,0,
20160816T174142.171035,0,0,1,0,
20160816T154802.171035,0,13,109,0,
20160816T174248.171035,0,0,1,0,
20160816T154800.171035,0,0,0,0,
20160818T041232.272597,143,0,0,0,
20160816T154802.171035,0,13,163,0,
20160816T174436.171035,0,0,1,0,
20160816T154802.171035,0,13,196,0,
20160816T174542.171035,0,0,1,0,
20160816T154802.171035,0,13,229,0,
20160816T174648.171035,0,0,1,0,
20160816T154802.171035,0,0,0,0,
20160816T154800.171035,0,14,6,0,
20160816T174754.171035,0,0,1,0,
20160816T154802.171035,0,14,39,0,
20160816T174900.171035,0,0,1,0,
20160816T154802.171035,0,14,72,0,
20160816T175006.171035,0,0,1,0,
20160816T154802.171035,0,14,105,0,
20160816T175112.171035,0,0,1,0,
20160816T154800.171035,0,0,0,0,
20160816T154802.171035,0,14,138,0,
20160816T175218.171035,0,0,1,0,
20160816T154802.171035,0,14,171,0,
20160816T175324.171035,0,0,1,0,
20160816T154802.171035,0,14,204,0,
20160816T175430.171035,0,0,1,0,
20160816T154802.171035,0,14,237,0,
20160816T175536.171035,0,0,1,0,
20160816T154800.171035,0,0,0,0,
20160818T041232.288223,15,0,0,0,
20160816T154802.171035,0,15,35,0,
20160816T175724.171035,0,0,1,0,
20160816T154802.171035,0,15,68,0,
20160816T175830.171035,0,0,1,0,
20160816T154802.171035,0,15,101,0,
20160816T175936.171035,0,0,1,0,
20160816T154802.171035,0,0,0,0,
