Time,Status_HB,Status_LB,LUP_cnt,P1V5,P3V3,P5V,N5V,P8V,P12V,P1I5,P3I3,P5I,N5I,P8I,P12I,TE,TS1,TS2,Checksum,CMD_exec_cnt,ICU_err_cnt,Last_cmd,Last_err,HK_req_cnt,sync_count
20160818T231236.235895,1,125,125,32000,0,32000,1,0,1499,0,382,32382,32256,0,32256,1,0,1500,220,0,0,1,127,127,127,
20160816T171841.274957,0,0,132,1,0,1506,0,389,34181,34048,0,34048,1,0,1507,0,390,34438,134,134,0,0,0,134,0,
20160819T013814.368707,1,142,142,36352,0,36352,1,0,1516,0,399,36751,36608,0,36608,1,0,1517,237,0,0,1,144,144,144,
20160816T171915.274957,0,0,149,1,0,1523,0,406,38550,38400,0,38400,1,0,1524,0,407,38807,151,151,0,0,0,151,0,
20160819T040352.501519,1,159,159,40704,0,40704,1,0,1533,0,416,41120,40960,0,40960,1,0,1534,254,0,0,1,161,161,161,
20160816T171421.274957,0,0,0,0,163,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,163,163,163,163,163,163,163,
20160816T180539.274957,0,6,5,1,43176,43176,0,168,0,256,6,1536,1,43433,43433,0,169,0,0,1,0,0,6,7,0,
20160825T212357.274957,6,14,0,433,45489,45312,0,45312,1,0,1551,0,434,45746,45568,0,45568,1,1,0,0,6,16,0,0,
20160817T190725.274957,0,184,0,256,6,5632,1,47545,47545,0,185,0,256,6,5888,1,47802,47802,186,0,0,0,186,0,0,
20160816T180627.274957,0,6,29,1,49344,49344,0,192,0,256,6,7680,1,49601,49601,0,193,0,0,1,0,0,6,31,0,
20160826T004845.274957,6,38,0,457,51657,51456,0,51456,1,0,1575,0,458,51914,51712,0,51712,1,1,0,0,6,40,0,0,
20160817T223213.274957,0,208,0,256,6,11776,1,53713,53713,0,209,0,256,6,12032,1,53970,53970,210,0,0,0,210,0,0,
20160816T180715.274957,0,6,53,1,55512,55512,0,216,0,256,6,13824,1,55769,55769,0,217,0,0,1,0,0,6,55,0,
20160826T041333.274957,6,62,0,481,57825,57600,0,57600,1,0,1599,0,482,58082,57856,0,57856,1,1,0,0,6,64,0,0,
20160818T015701.274957,0,232,0,256,6,17920,1,59881,59881,0,233,0,256,6,18176,1,60138,60138,234,0,0,0,234,0,0,
20160816T180803.274957,0,6,77,1,61680,61680,0,240,0,256,6,19968,1,61937,61937,0,241,0,0,1,0,0,6,79,0,
20160826T073821.274957,6,86,0,505,63993,63744,0,63744,1,0,1623,0,506,64250,64000,0,64000,1,1,0,0,6,88,0,0,
20160818T052149.274957,1,0,0,256,6,24064,1,257,257,0,257,1,256,6,24320,1,514,514,2,0,0,1,2,0,1,
20160816T180851.274957,0,6,101,1,2056,2056,0,264,1,256,6,26112,1,2313,2313,0,265,1,1,1,0,0,6,103,0,
20160818T074653.282769,1,17,0,256,6,28416,1,4626,4626,0,274,1,256,6,28672,1,4883,4883,19,0,0,1,19,0,1,
20160816T180925.274957,0,6,118,1,6425,6425,0,281,1,256,6,30464,1,6682,6682,0,282,1,1,1,0,0,6,120,0,
20160818T101157.282769,1,34,0,256,6,32768,1,8995,8995,0,291,1,0,6,33023,4095,4095,4095,255,15,255,15,255,15,255,
20160816T171421.274957,35,35,35,8995,8995,8995,8995,8995,8995,8995,8995,8995,256,6,33024,1,9252,9252,36,0,0,1,36,0,1,
20160816T180959.274957,0,6,135,1,10794,10794,0,298,1,256,6,34816,1,11051,11051,0,299,1,1,1,0,0,6,137,0,
20160818T123701.282769,1,51,0,256,6,37120,1,13364,13364,0,308,1,256,6,37376,1,13621,13621,53,0,0,1,53,0,1,
20160816T181033.274957,0,6,152,1,15163,15163,0,315,1,256,6,39168,1,15420,15420,0,316,1,1,1,0,0,6,154,0,
20160818T150205.282769,1,68,0,256,6,41472,1,17733,17733,0,325,1,256,6,41728,1,17990,17990,70,0,0,1,70,0,1,
20160816T181107.274957,0,6,169,1,19532,19532,0,332,1,256,6,43520,1,19789,19789,0,333,1,1,1,0,0,6,171,0,
20160818T172709.282769,1,85,0,256,6,45824,1,22102,22102,0,342,1,256,6,46080,1,22359,22359,87,0,0,1,87,0,1,
20160816T181141.274957,0,6,186,1,23901,23901,0,349,1,256,6,47872,1,24158,24158,0,350,1,1,1,0,0,6,188,0,
20160818T195213.282769,1,102,0,256,6,50176,1,26471,26471,0,359,1,256,6,50432,1,26728,26728,104,0,0,1,104,0,1,
20160816T181215.274957,0,6,203,1,28270,28270,0,366,1,256,6,52224,1,28527,28527,0,367,1,1,1,0,0,6,205,0,
20160818T221717.282769,1,119,0,256,6,54528,1,30840,30840,0,376,1,256,6,54784,1,31097,31097,121,0,0,1,121,0,1,
20160816T181249.274957,0,6,220,1,32639,32639,0,383,1,256,6,56576,1,32896,32896,0,384,1,1,1,0,0,6,222,0,
20160819T004221.282769,1,136,0,256,6,58880,1,35209,35209,0,393,1,256,6,59136,1,35466,35466,138,0,0,1,138,0,1,
20160816T181323.274957,0,6,237,1,37008,37008,0,400,1,256,6,60928,1,37265,37265,0,401,1,1,1,0,0,6,239,0,
20160819T030725.282769,1,153,0,256,6,63232,1,39578,39578,0,410,1,256,6,63488,1,39835,39835,155,0,0,1,155,0,1,
20160816T181357.274957,0,6,254,1,41377,41377,0,417,1,256,6,65280,1,41634,41634,0,418,1,1,0,0,0,7,0,255,
20160816T171421.274957,163,163,163,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,163,1,0,0,7,0,0,
20160819T053229.282769,1,170,0,256,7,2048,1,43947,43947,0,427,1,256,7,2304,1,44204,44204,172,0,0,1,172,0,1,
20160816T181431.274957,0,7,15,1,45746,45746,0,434,1,256,7,4096,1,46003,46003,0,435,1,1,1,0,0,7,17,0,
20160819T075733.282769,1,187,0,256,7,6400,1,48316,48316,0,444,1,256,7,6656,1,48573,48573,189,0,0,1,189,0,1,
20160816T181505.274957,0,7,32,1,50115,50115,0,451,1,256,7,8448,1,50372,50372,0,452,1,1,1,0,0,7,34,0,
20160819T102237.282769,1,204,0,256,7,10752,1,52685,52685,0,461,1,256,7,11008,1,52942,52942,206,0,0,1,206,0,1,
20160816T181539.274957,0,7,49,1,54484,54484,0,468,1,256,7,12800,1,54741,54741,0,469,1,1,1,0,0,7,51,0,
20160819T124741.282769,1,221,0,256,7,15104,1,57054,57054,0,478,1,256,7,15360,1,57311,57311,223,0,0,1,223,0,1,
20160816T181613.274957,0,7,66,1,58853,58853,0,485,1,256,7,17152,1,59110,59110,0,486,1,1,1,0,0,7,68,0,
20160819T151245.282769,1,238,0,256,7,19456,1,61423,61423,0,495,1,256,7,19712,1,61680,61680,240,0,0,1,240,0,1,
20160816T181647.274957,0,7,83,1,63222,63222,0,502,1,256,7,21504,1,63479,63479,0,503,1,1,1,0,0,7,85,0,
20160819T173749.282769,1,255,0,256,7,23808,1,0,0,0,512,2,256,7,24064,1,257,257,1,0,0,2,1,0,2,
20160816T181721.274957,0,7,100,1,1799,1799,0,519,2,256,7,25856,1,2056,2056,0,520,2,2,1,0,0,7,102,0,
20160819T200253.290582,2,16,0,256,7,28160,1,4369,4369,0,529,2,256,7,28416,1,4626,4626,18,0,0,2,18,0,2,
20160816T181755.274957,0,7,117,1,6168,6168,0,536,2,256,7,30208,1,6425,6425,0,537,2,2,1,0,0,7,119,0,
20160819T222757.290582,2,33,0,256,7,32512,1,8738,8738,0,546,2,256,7,32768,1,8995,8995,35,0,0,2,35,0,2,
20160816T171421.274957,35,35,35,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,35,35,35,35,35,35,35,
20160816T181829.274957,0,7,134,1,10537,10537,0,553,2,256,7,34560,1,10794,10794,0,554,2,2,1,0,0,7,136,0,
20160820T005301.290582,2,50,0,256,7,36864,1,13107,13107,0,563,2,256,7,37120,1,13364,13364,52,0,0,2,52,0,2,
20160816T181903.274957,0,7,151,1,14906,14906,0,570,2,256,7,38912,1,15163,15163,0,571,2,2,1,0,0,7,153,0,
20160820T031805.290582,2,67,0,256,7,41216,1,17476,17476,0,580,2,256,7,41472,1,17733,17733,69,0,0,2,69,0,2,
20160816T181937.274957,0,7,168,1,19275,19275,0,587,2,256,7,43264,1,19532,19532,0,588,2,2,1,0,0,7,170,0,
20160820T054309.290582,2,84,0,256,7,45568,1,21845,21845,0,597,2,256,7,45824,1,22102,22102,86,0,0,2,86,0,2,
20160816T182011.274957,0,7,185,1,23644,23644,0,604,2,256,7,47616,1,23901,23901,0,605,2,2,1,0,0,7,187,0,
20160820T080813.290582,2,101,0,256,7,49920,1,26214,26214,0,614,2,256,7,50176,1,26471,26471,103,0,0,2,103,0,2,
20160816T182045.274957,0,7,202,1,28013,28013,0,621,2,256,7,51968,1,28270,28270,0,622,2,2,1,0,0,7,204,0,
20160820T103317.290582,2,118,0,256,7,54272,1,30583,30583,0,631,2,256,7,54528,1,30840,30840,120,0,0,2,120,0,2,
20160816T182119.274957,0,7,219,1,32382,32382,0,638,2,256,7,56320,1,32639,32639,0,639,2,2,1,0,0,7,221,0,
20160820T125821.290582,2,135,0,256,7,58624,1,34952,34952,0,648,2,256,7,58880,1,35209,35209,137,0,0,2,137,0,2,
20160816T182153.274957,0,7,236,1,36751,36751,0,655,2,256,7,60672,1,37008,37008,0,656,2,2,1,0,0,7,238,0,
20160820T152325.290582,2,152,0,256,7,62976,1,39321,39321,0,665,2,256,7,63232,1,39578,39578,154,0,0,2,154,0,2,
20160816T182227.274957,0,7,253,1,41120,41120,0,672,2,256,7,65024,1,41377,41377,0,673,2,2,1,0,0,7,255,0,
20160816T171421.274957,0,0,0,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,163,163,163,163,163,163,163,
20160816T182245.274957,0,8,6,1,43433,43433,0,681,2,256,8,1792,1,43690,43690,0,682,2,2,1,0,0,8,8,0,
20160820T190517.290582,2,178,0,256,8,4096,1,46003,46003,0,691,2,256,8,4352,1,46260,46260,180,0,0,2,180,0,2,
20160816T182319.274957,0,8,23,1,47802,47802,0,698,2,256,8,6144,1,48059,48059,0,699,2,2,1,0,0,8,25,0,
20160820T213021.290582,2,195,0,256,8,8448,1,50372,50372,0,708,2,256,8,8704,1,50629,50629,197,0,0,2,197,0,2,
20160816T182353.274957,0,8,40,1,52171,52171,0,715,2,256,8,10496,1,52428,52428,0,716,2,2,1,0,0,8,42,0,
20160820T235525.290582,2,212,0,256,8,12800,1,54741,54741,0,725,2,256,8,13056,1,54998,54998,214,0,0,2,214,0,2,
20160816T182427.274957,0,8,57,1,56540,56540,0,732,2,256,8,14848,1,56797,56797,0,733,2,2,1,0,0,8,59,0,
20160821T022029.290582,2,229,0,256,8,17152,1,59110,59110,0,742,2,256,8,17408,1,59367,59367,231,0,0,2,231,0,2,
20160816T182501.274957,0,8,74,1,60909,60909,0,749,2,256,8,19200,1,61166,61166,0,750,2,2,1,0,0,8,76,0,
20160821T044533.290582,2,246,0,256,8,21504,1,63479,63479,0,759,2,256,8,21760,1,63736,63736,248,0,0,2,248,0,2,
20160816T182535.274957,0,8,91,1,65278,65278,0,766,2,256,8,23552,1,65535,65535,0,767,2,2,1,0,0,8,93,0,
20160821T071037.298395,3,7,0,256,8,25856,1,2056,2056,0,776,3,256,8,26112,1,2313,2313,9,0,0,3,9,0,3,
20160816T182609.274957,0,8,108,1,3855,3855,0,783,3,256,8,27904,1,4112,4112,0,784,3,3,1,0,0,8,110,0,
20160821T093541.298395,3,24,0,256,8,30208,1,6425,6425,0,793,3,256,8,30464,1,6682,6682,26,0,0,3,26,0,3,
20160816T182643.274957,0,8,125,1,8224,8224,0,800,3,256,8,32256,1,8481,8481,0,801,3,3,1,0,0,8,127,0,
20160816T171421.274957,0,0,0,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,35,35,35,35,35,35,35,
20160816T182701.274957,0,8,134,1,10537,10537,0,809,3,256,8,34560,1,10794,10794,0,810,3,3,1,0,0,8,136,0,
20160821T131733.298395,3,50,0,256,8,36864,1,13107,13107,0,819,3,256,8,37120,1,13364,13364,52,0,0,3,52,0,3,
20160816T182735.274957,0,8,151,1,14906,14906,0,826,3,256,8,38912,1,15163,15163,0,827,3,3,1,0,0,8,153,0,
20160821T154237.298395,3,67,0,256,8,41216,1,17476,17476,0,836,3,256,8,41472,1,17733,17733,69,0,0,3,69,0,3,
20160816T182809.274957,0,8,168,1,19275,19275,0,843,3,256,8,43264,1,19532,19532,0,844,3,3,1,0,0,8,170,0,
20160821T180741.298395,3,84,0,256,8,45568,1,21845,21845,0,853,3,256,8,45824,1,22102,22102,86,0,0,3,86,0,3,
20160816T182843.274957,0,8,185,1,23644,23644,0,860,3,256,8,47616,1,23901,23901,0,861,3,3,1,0,0,8,187,0,
20160821T203245.298395,3,101,0,256,8,49920,1,26214,26214,0,870,3,256,8,50176,1,26471,26471,103,0,0,3,103,0,3,
20160816T182917.274957,0,8,202,1,28013,28013,0,877,3,256,8,51968,1,28270,28270,0,878,3,3,1,0,0,8,204,0,
20160821T225749.298395,3,118,0,256,8,54272,1,30583,30583,0,887,3,256,8,54528,1,30840,30840,120,0,0,3,120,0,3,
20160816T182951.274957,0,8,219,1,32382,32382,0,894,3,256,8,56320,1,32639,32639,0,895,3,3,1,0,0,8,221,0,
20160822T012253.298395,3,135,0,256,8,58624,1,34952,34952,0,904,3,256,8,58880,1,35209,35209,137,0,0,3,137,0,3,
20160816T183025.274957,0,8,236,1,36751,36751,0,911,3,256,8,60672,1,37008,37008,0,912,3,3,1,0,0,8,238,0,
20160822T034757.298395,3,152,0,256,8,62976,1,39321,39321,0,921,3,256,8,63232,1,39578,39578,154,0,0,3,154,0,3,
20160816T183059.274957,0,8,253,1,41120,41120,0,928,3,256,8,65024,1,41377,41377,0,929,3,3,1,0,0,8,255,0,
20160816T171421.274957,0,0,0,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,163,163,163,163,163,163,163,
20160816T183117.274957,0,9,6,1,43433,43433,0,937,3,256,9,1792,1,43690,43690,0,938,3,3,1,0,0,9,8,0,
20160822T072949.298395,3,178,0,256,9,4096,1,46003,46003,0,947,3,256,9,4352,1,46260,46260,180,0,0,3,180,0,3,
20160816T183151.274957,0,9,23,1,47802,47802,0,954,3,256,9,6144,1,48059,48059,0,955,3,3,1,0,0,9,25,0,
20160822T095453.298395,3,195,0,256,9,8448,1,50372,50372,0,964,3,256,9,8704,1,50629,50629,197,0,0,3,197,0,3,
20160816T183225.274957,0,9,40,1,52171,52171,0,971,3,256,9,10496,1,52428,52428,0,972,3,3,1,0,0,9,42,0,
20160822T121957.298395,3,212,0,256,9,12800,1,54741,54741,0,981,3,256,9,13056,1,54998,54998,214,0,0,3,214,0,3,
20160816T183259.274957,0,9,57,1,56540,56540,0,988,3,256,9,14848,1,56797,56797,0,989,3,3,1,0,0,9,59,0,
20160822T144501.298395,3,229,0,256,9,17152,1,59110,59110,0,998,3,256,9,17408,1,59367,59367,231,0,0,3,231,0,3,
20160816T183333.274957,0,9,74,1,60909,60909,0,1005,3,256,9,19200,1,61166,61166,0,1006,3,3,1,0,0,9,76,0,
20160822T171005.298395,3,246,0,256,9,21504,1,63479,63479,0,1015,3,256,9,21760,1,63736,63736,248,0,0,3,248,0,3,
20160816T183407.274957,0,9,91,1,65278,65278,0,1022,3,256,9,23552,1,65535,65535,0,1023,3,3,1,0,0,9,93,0,
20160822T193509.306207,4,7,0,256,9,25856,1,2056,2056,0,1032,4,256,9,26112,1,2313,2313,9,0,0,4,9,0,4,
20160816T183441.274957,0,9,108,1,3855,3855,0,1039,4,256,9,27904,1,4112,4112,0,1040,4,4,1,0,0,9,110,0,
20160822T220013.306207,4,24,0,256,9,30208,1,6425,6425,0,1049,4,256,9,30464,1,6682,6682,26,0,0,4,26,0,4,
20160816T183515.274957,0,9,125,1,8224,8224,0,1056,4,256,9,32256,1,8481,8481,0,1057,4,4,1,0,0,9,127,0,
20160816T171421.274957,0,0,0,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,35,35,35,35,35,35,35,
20160816T183533.274957,0,9,134,1,10537,10537,0,1065,4,256,9,34560,1,10794,10794,0,1066,4,4,1,0,0,9,136,0,
20160823T014205.306207,4,50,0,256,9,36864,1,13107,13107,0,1075,4,256,9,37120,1,13364,13364,52,0,0,4,52,0,4,
20160816T183607.274957,0,9,151,1,14906,14906,0,1082,4,256,9,38912,1,15163,15163,0,1083,4,4,1,0,0,9,153,0,
20160823T040709.306207,4,67,0,256,9,41216,1,17476,17476,0,1092,4,256,9,41472,1,17733,17733,69,0,0,4,69,0,4,
20160816T183641.274957,0,9,168,1,19275,19275,0,1099,4,256,9,43264,1,19532,19532,0,1100,4,4,1,0,0,9,170,0,
20160823T063213.306207,4,84,0,256,9,45568,1,21845,21845,0,1109,4,256,9,45824,1,22102,22102,86,0,0,4,86,0,4,
20160816T183715.274957,0,9,185,1,23644,23644,0,1116,4,256,9,47616,1,23901,23901,0,1117,4,4,1,0,0,9,187,0,
20160823T085717.306207,4,101,0,256,9,49920,1,26214,26214,0,1126,4,256,9,50176,1,26471,26471,103,0,0,4,103,0,4,
20160816T183749.274957,0,9,202,1,28013,28013,0,1133,4,256,9,51968,1,28270,28270,0,1134,4,4,1,0,0,9,204,0,
20160823T112221.306207,4,118,0,256,9,54272,1,30583,30583,0,1143,4,256,9,54528,1,30840,30840,120,0,0,4,120,0,4,
20160816T183823.274957,0,9,219,1,32382,32382,0,1150,4,256,9,56320,1,32639,32639,0,1151,4,4,1,0,0,9,221,0,
20160823T134725.306207,4,135,0,256,9,58624,1,34952,34952,0,1160,4,256,9,58880,1,35209,35209,137,0,0,4,137,0,4,
20160816T183857.274957,0,9,236,1,36751,36751,0,1167,4,256,9,60672,1,37008,37008,0,1168,4,4,1,0,0,9,238,0,
20160823T161229.306207,4,152,0,256,9,62976,1,39321,39321,0,1177,4,256,9,63232,1,39578,39578,154,0,0,4,154,0,4,
20160816T183931.274957,0,9,253,1,41120,41120,0,1184,4,256,9,65024,1,41377,41377,0,1185,4,4,1,0,0,9,255,0,
20160816T171421.274957,0,0,0,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,163,163,163,163,163,163,163,
20160816T183949.274957,0,10,6,1,43433,43433,0,1193,4,256,10,1792,1,43690,43690,0,1194,4,4,1,0,0,10,8,0,
20160823T195421.306207,4,178,0,256,10,4096,1,46003,46003,0,1203,4,256,10,4352,1,46260,46260,180,0,0,4,180,0,4,
20160816T184023.274957,0,10,23,1,47802,47802,0,1210,4,256,10,6144,1,48059,48059,0,1211,4,4,1,0,0,10,25,0,
20160823T221925.306207,4,195,0,256,10,8448,1,50372,50372,0,1220,4,256,10,8704,1,50629,50629,197,0,0,4,197,0,4,
20160816T184057.274957,0,10,40,1,52171,52171,0,1227,4,256,10,10496,1,52428,52428,0,1228,4,4,1,0,0,10,42,0,
20160824T004429.306207,4,212,0,256,10,12800,1,54741,54741,0,1237,4,256,10,13056,1,54998,54998,214,0,0,4,214,0,4,
20160816T184131.274957,0,10,57,1,56540,56540,0,1244,4,256,10,14848,1,56797,56797,0,1245,4,4,1,0,0,10,59,0,
20160824T030933.306207,4,229,0,256,10,17152,1,59110,59110,0,1254,4,256,10,17408,1,59367,59367,231,0,0,4,231,0,4,
20160816T184205.274957,0,10,74,1,60909,60909,0,1261,4,256,10,19200,1,61166,61166,0,1262,4,4,1,0,0,10,76,0,
20160824T053437.306207,4,246,0,256,10,21504,1,63479,63479,0,1271,4,256,10,21760,1,63736,63736,248,0,0,4,248,0,4,
20160816T184239.274957,0,10,91,1,65278,65278,0,1278,4,256,10,23552,1,65535,65535,0,1279,4,4,1,0,0,10,93,0,
20160824T075941.314019,5,7,0,256,10,25856,1,2056,2056,0,1288,5,256,10,26112,1,2313,2313,9,0,0,5,9,0,5,
20160816T184313.274957,0,10,108,1,3855,3855,0,1295,5,256,10,27904,1,4112,4112,0,1296,5,5,1,0,0,10,110,0,
20160824T102445.314019,5,24,0,256,10,30208,1,6425,6425,0,1305,5,256,10,30464,1,6682,6682,26,0,0,5,26,0,5,
20160816T184347.274957,0,10,125,1,8224,8224,0,1312,5,256,10,32256,1,8481,8481,0,1313,5,5,1,0,0,10,127,0,
20160816T171421.274957,0,0,0,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,35,35,35,35,35,35,35,
20160816T184405.274957,0,10,134,1,10537,10537,0,1321,5,256,10,34560,1,10794,10794,0,1322,5,5,1,0,0,10,136,0,
20160824T140637.314019,5,50,0,256,10,36864,1,13107,13107,0,1331,5,256,10,37120,1,13364,13364,52,0,0,5,52,0,5,
20160816T184439.274957,0,10,151,1,14906,14906,0,1338,5,256,10,38912,1,15163,15163,0,1339,5,5,1,0,0,10,153,0,
20160824T163141.314019,5,67,0,256,10,41216,1,17476,17476,0,1348,5,256,10,41472,1,17733,17733,69,0,0,5,69,0,5,
20160816T184513.274957,0,10,168,1,19275,19275,0,1355,5,256,10,43264,1,19532,19532,0,1356,5,5,1,0,0,10,170,0,
20160824T185645.314019,5,84,0,256,10,45568,1,21845,21845,0,1365,5,256,10,45824,1,22102,22102,86,0,0,5,86,0,5,
20160816T184547.274957,0,10,185,1,23644,23644,0,1372,5,256,10,47616,1,23901,23901,0,1373,5,5,1,0,0,10,187,0,
20160824T212149.314019,5,101,0,256,10,49920,1,26214,26214,0,1382,5,256,10,50176,1,26471,26471,103,0,0,5,103,0,5,
20160816T184621.274957,0,10,202,1,28013,28013,0,1389,5,256,10,51968,1,28270,28270,0,1390,5,5,1,0,0,10,204,0,
20160824T234653.314019,5,118,0,256,10,54272,1,30583,30583,0,1399,5,256,10,54528,1,30840,30840,120,0,0,5,120,0,5,
20160816T184655.274957,0,10,219,1,32382,32382,0,1406,5,256,10,56320,1,32639,32639,0,1407,5,5,1,0,0,10,221,0,
20160825T021157.314019,5,135,0,256,10,58624,1,34952,34952,0,1416,5,256,10,58880,1,35209,35209,137,0,0,5,137,0,5,
20160816T184729.274957,0,10,236,1,36751,36751,0,1423,5,256,10,60672,1,37008,37008,0,1424,5,5,1,0,0,10,238,0,
20160825T043701.314019,5,152,0,256,10,62976,1,39321,39321,0,1433,5,256,10,63232,1,39578,39578,154,0,0,5,154,0,5,
20160816T184803.274957,0,10,253,1,41120,41120,0,1440,5,256,10,65024,1,41377,41377,0,1441,5,5,1,0,0,10,255,0,
20160816T171421.274957,0,0,0,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,41891,163,163,163,163,163,163,163,
20160816T184821.274957,0,11,6,1,43433,43433,0,1449,5,256,11,1792,1,43690,43690,0,1450,5,5,1,0,0,11,8,0,
20160825T081853.314019,5,178,0,256,11,4096,1,46003,46003,0,1459,5,256,11,4352,1,46260,46260,180,0,0,5,180,0,5,
20160816T184855.274957,0,11,23,1,47802,47802,0,1466,5,256,11,6144,1,48059,48059,0,1467,5,5,1,0,0,11,25,0,
20160825T104357.314019,5,195,0,256,11,8448,1,50372,50372,0,1476,5,256,11,8704,1,50629,50629,197,0,0,5,197,0,5,
20160816T184929.274957,0,11,40,1,52171,52171,0,1483,5,256,11,10496,1,52428,52428,0,1484,5,5,1,0,0,11,42,0,
20160825T130901.314019,5,212,0,256,11,12800,1,54741,54741,0,1493,5,256,11,13056,1,54998,54998,214,0,0,5,214,0,5,
20160816T185003.274957,0,11,57,1,56540,56540,0,1500,5,256,11,14848,1,56797,56797,0,1501,5,5,1,0,0,11,59,0,
20160825T153405.314019,5,229,0,256,11,17152,1,59110,59110,0,1510,5,256,11,17408,1,59367,59367,231,0,0,5,231,0,5,
20160816T185037.274957,0,11,74,1,60909,60909,0,1517,5,256,11,19200,1,61166,61166,0,1518,5,5,1,0,0,11,76,0,
20160825T175909.314019,5,246,0,256,11,21504,1,63479,63479,0,1527,5,256,11,21760,1,63736,63736,248,0,0,5,248,0,5,
