status,date,time,sync_counter
0,2016-07-27 , 12:24:18.279427,1880
0,2016-07-27 , 12:24:18.287239,1881
0,2016-07-27 , 12:24:18.295051,1882
0,2016-07-27 , 12:24:18.302863,1883
0,2016-07-27 , 12:24:18.310675,1884
0,2016-07-27 , 12:24:18.318487,1885
0,2016-07-27 , 12:24:18.326299,1886
0,2016-07-27 , 12:24:18.334111,1887
0,2016-07-27 , 12:24:18.341923,1888
0,2016-07-27 , 12:24:18.349735,1889
0,2016-07-27 , 12:24:18.357547,1890
0,2016-07-27 , 12:24:18.365359,1891
0,2016-07-27 , 12:24:18.373171,1892
0,2016-07-27 , 12:24:18.380983,1893
0,2016-07-27 , 12:24:18.388795,1894
0,2016-07-27 , 12:24:18.396607,1895
0,2016-07-27 , 12:24:18.404419,1896
0,2016-07-27 , 12:24:18.412231,1897
0,2016-07-27 , 12:24:18.420043,1898
0,2016-07-27 , 12:24:18.427855,1899
0,2016-07-27 , 12:24:18.435667,1900
0,2016-07-27 , 12:24:18.443479,1901
0,2016-07-27 , 12:24:18.451291,1902
0,2016-07-27 , 12:24:18.459103,1903
0,2016-07-27 , 12:24:18.466915,1904
0,2016-07-27 , 12:24:18.474727,1905
0,2016-07-27 , 12:24:18.482539,1906
0,2016-07-27 , 12:24:18.490351,1907
0,2016-07-27 , 12:24:18.498163,1908
0,2016-07-27 , 12:24:18.505975,1909
0,2016-07-27 , 12:24:18.513787,1910
0,2016-07-27 , 12:24:18.521599,1911
0,2016-07-27 , 12:24:18.529411,1912
0,2016-07-27 , 12:24:18.537223,1913
0,2016-07-27 , 12:24:18.545035,1914
0,2016-07-27 , 12:24:18.552847,1915
0,2016-07-27 , 12:24:18.560659,1916
0,2016-07-27 , 12:24:18.568471,1917
0,2016-07-27 , 12:24:18.576283,1918
0,2016-07-27 , 12:24:18.584095,1919
0,2016-07-27 , 12:24:18.591907,1920
0,2016-07-27 , 12:24:18.599719,1921
0,2016-07-27 , 12:24:18.607531,1922
0,2016-07-27 , 12:24:18.615343,1923
0,2016-07-27 , 12:24:18.623155,1924
0,2016-07-27 , 12:24:18.630967,1925
0,2016-07-27 , 12:24:18.638779,1926
0,2016-07-27 , 12:24:18.646591,1927
0,2016-07-27 , 12:24:18.654403,1928
0,2016-07-27 , 12:24:18.662215,1929
0,2016-07-27 , 12:24:18.670027,1930
0,2016-07-27 , 12:24:18.677839,1931
0,2016-07-27 , 12:24:18.685651,1932
0,2016-07-27 , 12:24:18.693463,1933
0,2016-07-27 , 12:24:18.701275,1934
0,2016-07-27 , 12:24:18.709087,1935
0,2016-07-27 , 12:24:18.716899,1936
0,2016-07-27 , 12:24:18.724711,1937
0,2016-07-27 , 12:24:18.732523,1938
0,2016-07-27 , 12:24:18.740335,1939
0,2016-07-27 , 12:24:18.748147,1940
0,2016-07-27 , 12:24:18.755959,1941
0,2016-07-27 , 12:24:18.763771,1942
0,2016-07-27 , 12:24:18.771583,1943
0,2016-07-27 , 12:24:18.779395,1944
0,2016-07-27 , 12:24:18.787207,1945
0,2016-07-27 , 12:24:18.795019,1946
0,2016-07-27 , 12:24:18.802831,1947
0,2016-07-27 , 12:24:18.810643,1948
0,2016-07-27 , 12:24:18.818455,1949
0,2016-07-27 , 12:24:18.826267,1950
0,2016-07-27 , 12:24:18.834079,1951
0,2016-07-27 , 12:24:18.841891,1952
0,2016-07-27 , 12:24:18.849703,1953
0,2016-07-27 , 12:24:18.857515,1954
0,2016-07-27 , 12:24:18.865327,1955
0,2016-07-27 , 12:24:18.873139,1956
0,2016-07-27 , 12:24:18.880951,1957
0,2016-07-27 , 12:24:18.888763,1958
0,2016-07-27 , 12:24:18.896575,1959
0,2016-07-27 , 12:24:18.904387,1960
0,2016-07-27 , 12:24:18.912199,1961
0,2016-07-27 , 12:24:18.920011,1962
0,2016-07-27 , 12:24:18.927823,1963
0,2016-07-27 , 12:24:18.935635,1964
0,2016-07-27 , 12:24:18.943447,1965
0,2016-07-27 , 12:24:18.951259,1966
0,2016-07-27 , 12:24:18.959071,1967
0,2016-07-27 , 12:24:18.966883,1968
0,2016-07-27 , 12:24:18.974695,1969
0,2016-07-27 , 12:24:18.982507,1970
0,2016-07-27 , 12:24:18.990319,1971
0,2016-07-27 , 12:24:18.998131,1972
0,2016-07-27 , 12:24:19.005943,1973
0,2016-07-27 , 12:24:19.013755,1974
0,2016-07-27 , 12:24:19.021567,1975
0,2016-07-27 , 12:24:19.029379,1976
0,2016-07-27 , 12:24:19.037191,1977
0,2016-07-27 , 12:24:19.045003,1978
0,2016-07-27 , 12:24:19.052815,1979
0,2016-07-27 , 12:24:19.060627,1980
0,2016-07-27 , 12:24:19.068439,1981
0,2016-07-27 , 12:24:19.076251,1982
0,2016-07-27 , 12:24:19.084063,1983
0,2016-07-27 , 12:24:19.091875,1984
0,2016-07-27 , 12:24:19.099687,1985
0,2016-07-27 , 12:24:19.107499,1986
0,2016-07-27 , 12:24:19.115311,1987
0,2016-07-27 , 12:24:19.123123,1988
0,2016-07-27 , 12:24:19.130935,1989
0,2016-07-27 , 12:24:19.138747,1990
0,2016-07-27 , 12:24:19.146559,1991
0,2016-07-27 , 12:24:19.154371,1992
0,2016-07-27 , 12:24:19.162183,1993
0,2016-07-27 , 12:24:19.169995,1994
0,2016-07-27 , 12:24:19.177807,1995
0,2016-07-27 , 12:24:19.185619,1996
0,2016-07-27 , 12:24:19.193431,1997
0,2016-07-27 , 12:24:19.201243,1998
0,2016-07-27 , 12:24:19.209055,1999
0,2016-07-27 , 12:24:19.216867,2000
0,2016-07-27 , 12:24:19.224679,2001
0,2016-07-27 , 12:24:19.232491,2002
0,2016-07-27 , 12:24:19.240303,2003
0,2016-07-27 , 12:24:19.248115,2004
0,2016-07-27 , 12:24:19.255927,2005
0,2016-07-27 , 12:24:19.263739,2006
0,2016-07-27 , 12:24:19.271551,2007
0,2016-07-27 , 12:24:19.279363,2008
0,2016-07-27 , 12:24:19.287175,2009
0,2016-07-27 , 12:24:19.294987,2010
0,2016-07-27 , 12:24:19.302799,2011
0,2016-07-27 , 12:24:19.310611,2012
0,2016-07-27 , 12:24:19.318423,2013
0,2016-07-27 , 12:24:19.326235,2014
0,2016-07-27 , 12:24:19.334047,2015
0,2016-07-27 , 12:24:19.341859,2016
0,2016-07-27 , 12:24:19.349671,2017
0,2016-07-27 , 12:24:19.357483,2018
0,2016-07-27 , 12:24:19.365295,2019
0,2016-07-27 , 12:24:19.373107,2020
0,2016-07-27 , 12:24:19.380919,2021
0,2016-07-27 , 12:24:19.388731,2022
0,2016-07-27 , 12:24:19.396543,2023
0,2016-07-27 , 12:24:19.404355,2024
0,2016-07-27 , 12:24:19.412167,2025
0,2016-07-27 , 12:24:19.419979,2026
0,2016-07-27 , 12:24:19.427791,2027
0,2016-07-27 , 12:24:19.435603,2028
0,2016-07-27 , 12:24:19.443415,2029
0,2016-07-27 , 12:24:19.451227,2030
0,2016-07-27 , 12:24:19.459039,2031
0,2016-07-27 , 12:24:19.466851,2032
0,2016-07-27 , 12:24:19.474663,2033
0,2016-07-27 , 12:24:19.482475,2034
0,2016-07-27 , 12:24:19.490287,2035
0,2016-07-27 , 12:24:19.498099,2036
0,2016-07-27 , 12:24:19.505911,2037
0,2016-07-27 , 12:24:19.513723,2038
0,2016-07-27 , 12:24:19.521535,2039
0,2016-07-27 , 12:24:19.529347,2040
0,2016-07-27 , 12:24:19.537159,2041
0,2016-07-27 , 12:24:19.544971,2042
0,2016-07-27 , 12:24:19.552783,2043
0,2016-07-27 , 12:24:19.560595,2044
0,2016-07-27 , 12:24:19.568407,2045
0,2016-07-27 , 12:24:19.576219,2046
0,2016-07-27 , 12:24:19.584031,2047
0,2016-07-27 , 12:24:19.591843,2048
0,2016-07-27 , 12:24:19.599655,2049
0,2016-07-27 , 12:24:19.607467,2050
0,2016-07-27 , 12:24:19.615279,2051
0,2016-07-27 , 12:24:19.623091,2052
0,2016-07-27 , 12:24:19.630903,2053
0,2016-07-27 , 12:24:19.638715,2054
0,2016-07-27 , 12:24:19.646527,2055
0,2016-07-27 , 12:24:19.654339,2056
0,2016-07-27 , 12:24:19.662151,2057
0,2016-07-27 , 12:24:19.669963,2058
0,2016-07-27 , 12:24:19.677775,2059
0,2016-07-27 , 12:24:19.685587,2060
0,2016-07-27 , 12:24:19.693399,2061
0,2016-07-27 , 12:24:19.701211,2062
0,2016-07-27 , 12:24:19.709023,2063
0,2016-07-27 , 12:24:19.716835,2064
0,2016-07-27 , 12:24:19.724647,2065
0,2016-07-27 , 12:24:19.732459,2066
0,2016-07-27 , 12:24:19.740271,2067
0,2016-07-27 , 12:24:19.748083,2068
0,2016-07-27 , 12:24:19.755895,2069
0,2016-07-27 , 12:24:19.763707,2070
0,2016-07-27 , 12:24:19.771519,2071
0,2016-07-27 , 12:24:19.779331,2072
0,2016-07-27 , 12:24:19.787143,2073
0,2016-07-27 , 12:24:19.794955,2074
0,2016-07-27 , 12:24:19.802767,2075
0,2016-07-27 , 12:24:19.810579,2076
0,2016-07-27 , 12:24:19.818391,2077
0,2016-07-27 , 12:24:19.826203,2078
0,2016-07-27 , 12:24:19.834015,2079
0,2016-07-27 , 12:24:19.841827,2080
0,2016-07-27 , 12:24:19.849639,2081
0,2016-07-27 , 12:24:19.857451,2082
0,2016-07-27 , 12:24:19.865263,2083
0,2016-07-27 , 12:24:19.873075,2084
0,2016-07-27 , 12:24:19.880887,2085
0,2016-07-27 , 12:24:19.888699,2086
0,2016-07-27 , 12:24:19.896511,2087
0,2016-07-27 , 12:24:19.904323,2088
0,2016-07-27 , 12:24:19.912135,2089
0,2016-07-27 , 12:24:19.919947,2090
0,2016-07-27 , 12:24:19.927759,2091
0,2016-07-27 , 12:24:19.935571,2092
0,2016-07-27 , 12:24:19.943383,2093
0,2016-07-27 , 12:24:19.951195,2094
0,2016-07-27 , 12:24:19.959007,2095
0,2016-07-27 , 12:24:19.966819,2096
0,2016-07-27 , 12:24:19.974631,2097
0,2016-07-27 , 12:24:19.982443,2098
0,2016-07-27 , 12:24:19.990255,2099
0,2016-07-27 , 12:24:19.998067,2100
0,2016-07-27 , 12:24:20.005879,2101
0,2016-07-27 , 12:24:20.013691,2102
0,2016-07-27 , 12:24:20.021503,2103
0,2016-07-27 , 12:24:20.029315,2104
0,2016-07-27 , 12:24:20.037127,2105
0,2016-07-27 , 12:24:20.044939,2106
0,2016-07-27 , 12:24:20.052751,2107
0,2016-07-27 , 12:24:20.060563,2108
0,2016-07-27 , 12:24:20.068375,2109
0,2016-07-27 , 12:24:20.076187,2110
0,2016-07-27 , 12:24:20.083999,2111
0,2016-07-27 , 12:24:20.091811,2112
0,2016-07-27 , 12:24:20.099623,2113
0,2016-07-27 , 12:24:20.107435,2114
0,2016-07-27 , 12:24:20.115247,2115
0,2016-07-27 , 12:24:20.123059,2116
0,2016-07-27 , 12:24:20.130871,2117
0,2016-07-27 , 12:24:20.138683,2118
0,2016-07-27 , 12:24:20.146495,2119
0,2016-07-27 , 12:24:20.154307,2120
0,2016-07-27 , 12:24:20.162119,2121
0,2016-07-27 , 12:24:20.169931,2122
0,2016-07-27 , 12:24:20.177743,2123
0,2016-07-27 , 12:24:20.185555,2124
0,2016-07-27 , 12:24:20.193367,2125
0,2016-07-27 , 12:24:20.201179,2126
0,2016-07-27 , 12:24:20.208991,2127
0,2016-07-27 , 12:24:20.216803,2128
0,2016-07-27 , 12:24:20.224615,2129
0,2016-07-27 , 12:24:20.232427,2130
0,2016-07-27 , 12:24:20.240239,2131
0,2016-07-27 , 12:24:20.248051,2132
0,2016-07-27 , 12:24:20.255863,2133
0,2016-07-27 , 12:24:20.263675,2134
0,2016-07-27 , 12:24:20.271487,2135
0,2016-07-27 , 12:24:20.279299,2136
0,2016-07-27 , 12:24:20.287111,2137
0,2016-07-27 , 12:24:20.294923,2138
0,2016-07-27 , 12:24:20.302735,2139
0,2016-07-27 , 12:24:20.310547,2140
0,2016-07-27 , 12:24:20.318359,2141
