time,x,y,z
20160805 16:41:09.496806,0,227990,227990,227990
20160805 16:41:09.504618,0,227991,227991,227991
20160805 16:41:09.512431,0,227992,227992,227992
20160805 16:41:09.520244,0,227993,227993,227993
20160805 16:41:09.528056,0,227994,227994,227994
20160805 16:41:09.535868,0,227995,227995,227995
20160805 16:41:09.543681,0,227996,227996,227996
20160805 16:41:09.551494,0,227997,227997,227997
20160805 16:41:09.559306,0,227998,227998,227998
20160805 16:41:09.567118,0,227999,227999,227999
20160805 16:41:09.574931,0,228000,228000,228000
20160805 16:41:09.582744,0,228001,228001,228001
20160805 16:41:09.590556,0,228002,228002,228002
20160805 16:41:09.598368,0,228003,228003,228003
20160805 16:41:09.606181,0,228004,228004,228004
20160805 16:41:09.613994,0,228005,228005,228005
20160805 16:41:09.621806,0,228006,228006,228006
20160805 16:41:09.629618,0,228007,228007,228007
20160805 16:41:09.637431,0,228008,228008,228008
20160805 16:41:09.645244,0,228009,228009,228009
20160805 16:41:09.653056,0,228010,228010,228010
20160805 16:41:09.660868,0,228011,228011,228011
20160805 16:41:09.668681,0,228012,228012,228012
20160805 16:41:09.676494,0,228013,228013,228013
20160805 16:41:09.684306,0,228014,228014,228014
20160805 16:41:09.692118,0,228015,228015,228015
20160805 16:41:09.699931,0,228016,228016,228016
20160805 16:41:09.707744,0,228017,228017,228017
20160805 16:41:09.715556,0,228018,228018,228018
20160805 16:41:09.723368,0,228019,228019,228019
20160805 16:41:09.731181,0,228020,228020,228020
20160805 16:41:09.738994,0,228021,228021,228021
20160805 16:41:09.746806,0,228022,228022,228022
20160805 16:41:09.754618,0,228023,228023,228023
20160805 16:41:09.762431,0,228024,228024,228024
20160805 16:41:09.770244,0,228025,228025,228025
20160805 16:41:09.778056,0,228026,228026,228026
20160805 16:41:09.785868,0,228027,228027,228027
20160805 16:41:09.793681,0,228028,228028,228028
20160805 16:41:09.801494,0,228029,228029,228029
20160805 16:41:09.809306,0,228030,228030,228030
20160805 16:41:09.817118,0,228031,228031,228031
20160805 16:41:09.824931,0,228032,228032,228032
20160805 16:41:09.832744,0,228033,228033,228033
20160805 16:41:09.840556,0,228034,228034,228034
20160805 16:41:09.848368,0,228035,228035,228035
20160805 16:41:09.856181,0,228036,228036,228036
20160805 16:41:09.863994,0,228037,228037,228037
20160805 16:41:09.871806,0,228038,228038,228038
20160805 16:41:09.879618,0,228039,228039,228039
20160805 16:41:09.887431,0,228040,228040,228040
20160805 16:41:09.895244,0,228041,228041,228041
20160805 16:41:09.903056,0,228042,228042,228042
20160805 16:41:09.910868,0,228043,228043,228043
20160805 16:41:09.918681,0,228044,228044,228044
20160805 16:41:09.926494,0,228045,228045,228045
20160805 16:41:09.934306,0,228046,228046,228046
20160805 16:41:09.942118,0,228047,228047,228047
